Season,Sector,Category,Crop,QueryType,QueryText,KCCAns,StateName,DistrictName,BlockName,CreatedOn
KHARIF,HORTICULTURE,Vegetables,Brinjal,Weather,WANT TO KNOW WEATHER REPORT FOR WEST TRIPURA,TOLD HIM THAT 3 MM   8 MM   15 MM AND 25 MM ON 3 RD  4 TH  5 TH AND 6 TH SEPTEMBER 2015,TRIPURA,WEST TRIPURA,BISHALGARH                                        ,36:10.7
KHARIF,AGRICULTURE,Others,Others,Weather,ASKING ABOUT WEATHER REPORT,ACCORDING TO IMD REPORT WEATHER WILL BE PARTLY CLOUDY IN NEXT 5 DAYS.,TRIPURA,WEST TRIPURA,BISHALGARH                                        ,41:49.7
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),"	Plant Protection	",CONTROL MEASURES OF CASEWORM IN RICE FIELD,ADVICE TO SPRAY CHLORPYRIPHOS 20 EC @ 2 ML/L WATER,TRIPURA,WEST TRIPURA,JAMPUIJALA,03:52.3
KHARIF,AGRICULTURE,Others,Others,Government Schemes,ASKING HOW TO AVAIL BENFIT OF GOVT SCHEME,CONTACT WITH DISTRICT AGRICULTURAL OFFCER FOR BENFIT OF GOVT SCHEME,TRIPURA,WEST TRIPURA,BISHALGARH                                        ,24:57.5
KHARIF,HORTICULTURE,Vegetables,Cowpea (Vegetable),"	Plant Protection	",PROBLEM OF APHIDS IN COWPEA.,ADVISED HIM TO APPLY ROGOR 35 EC OR TUFGOR @ 2 ML / LITRE OF WATER.,TRIPURA,WEST TRIPURA,TELIAMURA                                         ,53:09.3
KHARIF,HORTICULTURE,Vegetables,Ridge Gourd,"	Plant Protection	",PROBLEM OF FRUIT FLY IN RIDGE GOURD.,ADVISED HIM TO APPLY MALATHION 50 EC @ 2 ML / LITRE OF WATER.,TRIPURA,WEST TRIPURA,TELIAMURA                                         ,20:44.0
KHARIF,HORTICULTURE,Vegetables,Ridge Gourd,"	Plant Protection	",PROBLEM OF TERMITE IN RIDGE GOURD.,ADVISED HIM TO APPLY CHLOROPYRIPHOSE 20 EC @ 2 ML / LITRE OF WATER.,TRIPURA,WEST TRIPURA,TELIAMURA                                         ,26:13.5
KHARIF,HORTICULTURE,Vegetables,Radish,"	Plant Protection	",ASKING CONTROL OF LEAF SPOT IN RADISH,APPLY BAVISTIN @ 2 GRAM PER LITRE OF WATER,TRIPURA,WEST TRIPURA,JIRANIA                                           ,16:42.3
KHARIF,HORTICULTURE,Vegetables,Brinjal,"	Plant Protection	",CONTROL OF FUNGAL WILT IN BRINGAL,SPRAY BAVISTIN @ 2 GM PER LITER OF WATER,TRIPURA,WEST TRIPURA,MOHANPUR                                          ,32:36.1
KHARIF,HORTICULTURE,Vegetables,Brinjal,Weather,WANT TO KNOW RAINFALL IN WEST TRIPURA ON 5HT AND 6TH SEPTEMBER 2015,TOLD HIM THAT 15 MM AND 25 MM RAINFALL FORCAST ON 5HT AND 6TH SEPTEMBER FOR WEST TRIPURA BASED ON IMD WEATHER FORCAST,TRIPURA,WEST TRIPURA,BISHALGARH                                        ,21:48.9
KHARIF,HORTICULTURE,Vegetables,Cucumber,"	Plant Protection	",CONTROL OF DOWNY MILDEW IN CUCUMBER,SPRAY BAVISTIN @ 2 GM PER LITER OF WATER,TRIPURA,WEST TRIPURA,MOHANPUR                                          ,43:15.8
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),"	Plant Protection	",BLAST  IN RICE,SUGGESTED TO SPRAY BAVISTIN @ 1 GRAM / LITRE WATER,TRIPURA,WEST TRIPURA,TELIAMURA                                         ,12:00.3
KHARIF,HORTICULTURE,Vegetables,Brinjal,Cultural Practices,MICRO NUTRIENT REQUIRMENT IN BRINJAL,SPRAY TRACEL 2 @ 2 GM PER LITER OF WATER,TRIPURA,WEST TRIPURA,DUKLI                                             ,10:32.0
KHARIF,HORTICULTURE,Vegetables,Cauliflower,"	Plant Protection	",SEED TREATMENT IN CAULIFLOWER,MIXED MANCOZEB @ 0.5 GM PER 100 GM OF SEED,TRIPURA,WEST TRIPURA,TELIAMURA                                         ,49:51.3
KHARIF,AGRICULTURE,Others,Others,Weather,ASKING ABOUT WEATHER REPORT FOR WEST TRIPURA,ANSWERED IN DETAILED: MAXIMUM RAINFALL-3mm  MAXIMUM TEMPERATURE-32 DEGREE CELCIUS  MINIMUM TEMPERATURE-24 DEGREE CELCIUS.,TRIPURA,WEST TRIPURA,JIRANIA                                           ,58:21.7
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),"	Plant Protection	",CONTROL MEASURES OF RICE BLAST,ADVICE TO SPRAY BAVISTIN @ 2 GM/L WATER,TRIPURA,WEST TRIPURA,KATHALIA                                          ,06:18.1
KHARIF,HORTICULTURE,Vegetables,Cucumber,"	Plant Protection	",PROBLEM OF BACTERIAL WILT IN CUCUMBER.,ADVISED HIM TO APPLY STREPTOMYCINE SULPHATE @ 1 GM / 10 LITRE OF WATER.,TRIPURA,WEST TRIPURA,MOHANPUR                                          ,00:22.4
KHARIF,HORTICULTURE,Vegetables,Cowpea (Vegetable),"	Plant Protection	",PROBLEM OF APHIDS IN COWPEA.,ADVISED HIM TO APPLY ROGOR 35 EC @ 2 ML / LITRE OF WATER.,TRIPURA,WEST TRIPURA,TELIAMURA                                         ,57:39.6
KHARIF,HORTICULTURE,Plantation Crops,Coconut,"	Plant Protection	",ASKING PIT SIZE FOR COCONUT PLANTING,PIT SIZE FOR COCONUT- 1 METER(LENGTH) X 1 METER(BREADTH) X 1 METER(DEPTH),TRIPURA,WEST TRIPURA,KHOWAI                                            ,10:33.7
KHARIF,AGRICULTURE,Others,Others,Government Schemes,ASKING THE NUMBER FOR USSD REGISTRATION,DIAL *491* 103# FOR USSD REGISTRATION,TRIPURA,WEST TRIPURA,KHOWAI                                            ,15:46.2
KHARIF,HORTICULTURE,Vegetables,Cucumber,"	Plant Protection	",ASKING CONTROL OF LEAF CURL IN CUCUMBER,APPLY ACTARA @ 5 GRAM PER LITRE OF WATER,TRIPURA,WEST TRIPURA,MOHANPUR                                          ,24:28.7
KHARIF,HORTICULTURE,Vegetables,Brinjal,"	Plant Protection	",CONTROL OF FUNGAL WILT IN BRINJAL,SPRAY BAVISTIN @ 2 GM PER LITER OF WATER,TRIPURA,WEST TRIPURA,MOHANPUR                                          ,35:37.4
KHARIF,HORTICULTURE,Vegetables,Tomato,Cultural Practices,WANT TO KNOW ABOUT TOMATO VARIETY,TOLD HIM TO CULTIVATE EITHER HIMSUNA  HIMSHIKAR  ANUP OR ROCKY VARIETY OF TOMATO,TRIPURA,WEST TRIPURA,MOHANPUR                                          ,15:31.6
KHARIF,ANIMAL HUSBANDRY,Animal,Rabbit,Animal Nutrition,VETY. RELATED QUAARY,TRANSFER TO VETY. EXPERT,TRIPURA,WEST TRIPURA,KHOWAI                                            ,06:22.7
KHARIF,HORTICULTURE,Vegetables,Brinjal,"	Plant Protection	",PROBLEM OF FUNGAL WILT IN BRINJAL.,ADVISED HIM TO APPLY BAVISTIN @ 1 GM / LITRE OF WATER.,TRIPURA,WEST TRIPURA,KHOWAI                                            ,15:41.7
KHARIF,HORTICULTURE,Vegetables,Brinjal,"	Plant Protection	",FUNGAL WILT OF BRINJAL,ADVISED TO SPRAY BAVISTIN @ 2 GRAM / LITRE WATER,TRIPURA,WEST TRIPURA,KHOWAI                                            ,25:26.7
KHARIF,HORTICULTURE,Vegetables,Tomato,"	Plant Protection	",LATE BLIGHT OF TOMATO,ADVISED TO SPRAY INDOFIL M- 45 @ 2 GRAM / LITRE WATER,TRIPURA,WEST TRIPURA,KHOWAI                                            ,54:42.5
KHARIF,HORTICULTURE,Vegetables,Chillies,"	Plant Protection	",ASKING ABOUT THE CONTROL MEASURE TO CONTROL ANTHRACNOSE DISEASE IN CHILLI.,SUGGESTED TO APPLY CAPTAF @2GRAM/LITER OF WATER,TRIPURA,WEST TRIPURA,KHOWAI                                            ,13:58.3
KHARIF,HORTICULTURE,Vegetables,Cucumber,"	Plant Protection	",CONTROL OF FRUIT FLY IN CUCUMBER,SPRAY ACTARA @ 2 ML PER LITER OF WATER,TRIPURA,WEST TRIPURA,BISHALGARH                                        ,38:46.7
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),"	Plant Protection	",CONTROL OF HISPA IN PADDY,SPRAY CLASSIC 20 @ 2 ML PER LITER OF WATER,TRIPURA,WEST TRIPURA,BOXANAGAR                                         ,56:16.9
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),"	Plant Protection	",CONTROL OF RATS IN PADDY,APPLY ZINC PHOSPHIDE MIXED RICE AND FISH AND PLACED IN PADDY FIELD,TRIPURA,WEST TRIPURA,TELIAMURA                                         ,04:09.2
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),"	Plant Protection	",RICE HISPA,SUGGESTED TO SPRAY TRICEL-2 0R CLASSIC-20 @ 2ML/ LITRE WATER,TRIPURA,WEST TRIPURA,MOHANPUR                                          ,12:39.4
KHARIF,HORTICULTURE,Vegetables,Brinjal,"	Plant Protection	",FUNGAL WILT OF BRINJAL,ADVISED TO SPRAY BAVISTIN OR CAPTAF @ 2 GRAM / LITRE WATER,TRIPURA,WEST TRIPURA,KATHALIA                                          ,49:49.0
KHARIF,HORTICULTURE,Fruits,Banana,"	Plant Protection	",ROOTS TREATMENT IN BANANA PLANT,DIPPED THE ROOTS OF BANANA PLANT IN MUD AND THEN APPLY FURADON @ 40 GM PER PLANT,TRIPURA,WEST TRIPURA,MANDWAI,36:07.9
KHARIF,HORTICULTURE,Vegetables,Bhindi(Okra/Ladysfinger),Cultural Practices,MICRO NUTRIENT REQUIRMENT IN BHINDI,SPRAY TRACEL 2 @ 2 GM PER LITER OF WATER,TRIPURA,WEST TRIPURA,TELIAMURA                                         ,21:59.4
KHARIF,AGRICULTURE,Others,Others,Weather,ASKING ABOUT WEATHER REPORT,"Weather may generally cloudy and light rain may occur till 0830morning of Sep 9. Total rain in the district may be 20 mm. Dayand night temp expected to rise and may vary from 32 to 35 and25 to 26 degrees.",TRIPURA,WEST TRIPURA,BISHALGARH                                        ,11:06.4
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),"	Plant Protection	",CONTROL OF RATS IN PADDY,MIXED PHOSPHIDE WITH RICE AND DRY FISH AND PLACED IN THE PADDY FEILD,TRIPURA,WEST TRIPURA,MOHANPUR                                          ,27:30.1
KHARIF,HORTICULTURE,Vegetables,Tomato,Cultural Practices,WANT TO KNOW  ABOUT TOMATO VARIETY,ADVICED TO CULTIVATE ANY ONE OF THE HIMSONA  TOMATO 1195  HIMSHIKHAR AND ROCKY,TRIPURA,WEST TRIPURA,MELAGHAR                                          ,19:36.2
KHARIF,HORTICULTURE,Plantation Crops,Coconut,Fertilizer Use and Availability,ASKING RECOMMENDED FERTILIZER DOSE OF COCONUT ABOVE THE AGE OF 6 YEARS,TO APPLY RECOMMENDED FERTILIZER LIKE-UREA@1.5 KILOGRAM/PLANT SSP@2.5 KILOGRAM/PLANT MOP@1.75 KILOGRAM/PLANT BORAX@50GRAM/PLANT.FERTILIZER SHOULD BE APPLIED IN TWO EQUAL HALVES TWICE IN A YEAR TO A TRENCH OF 10-12 CENTIMETER DEPTH 30 CENTIMETER BREADTH WITH A RADIUS OF 1-1.75 METER  AWAY FROM THE MAIN TRUNK,TRIPURA,WEST TRIPURA,DUKLI                                             ,11:52.3
KHARIF,HORTICULTURE,Vegetables,Dolichos Bean,"	Plant Protection	",ASKING CONTROL OF LEAF MINER ATTACK IN DOLICHOS BEAN,SPRAY MALATHION 50 EC @ 2 ML PER LITRE OF WATER,TRIPURA,WEST TRIPURA,MOHANPUR                                          ,51:12.9
KHARIF,HORTICULTURE,Plantation Crops,Coconut,"	Plant Protection	",CONTROL OF IMMATURE FRUIT DROP IN COCONUT,APPLY UREA 750 GM  SSP 1250 GM  MOP 900 GM  BORAX 25 GM AND COWDUNG 10 KG PER PLANT TWICE IN A YEAR NAMELY IN APRIL AND OCTOBER MONTH,TRIPURA,WEST TRIPURA,DUKLI                                             ,54:30.5
KHARIF,AGRICULTURE,Others,Others,Weather,ASKING FOR WEATHER REPORT OF WEST TRIPURA DISTRICT,WEATHER WILL BE PARTLY CLOUDY AND PREDICTED A RAINFALL OF 3mm  2mm and 5mm on 11th 12th and 13th SEP 2015,TRIPURA,WEST TRIPURA,BISHALGARH                                        ,24:40.5
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),"	Plant Protection	",STEM BORER IN RICE,SUGGESTED TO SPRAY TRICEL-20 OR CLASSIC-20 @  2 ML/ LITRE WATER,TRIPURA,WEST TRIPURA,JIRANIA                                           ,56:20.9
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),"	Plant Protection	",ASKING CONTROL OF STEM BORER ATTACK IN PADDY FIELD,SPRAY KARATE(LAMDA CYHALOTHRIN) @ 2 ML PER LITRE OF WATER,TRIPURA,WEST TRIPURA,MELAGHAR                                          ,53:02.4
KHARIF,HORTICULTURE,Vegetables,Bottle Gourd,Cultural Practices,MICRO NUTRIENT REQUIRMENT IN BOTTLE GOURD,SPRAY TRACEL 2 @ 2 GM PER LITER OF WATER,TRIPURA,WEST TRIPURA,MELAGHAR                                          ,16:02.3
KHARIF,HORTICULTURE,Vegetables,Cowpea (Vegetable),"	Plant Protection	",CONTROL OF DOWNY MILDEW IN COWPEA,SPRAY RIDOMIL GOLD @ 2 GM PER LITER OF WATER,TRIPURA,WEST TRIPURA,MOHANPUR                                          ,38:11.1
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),"	Plant Protection	",CONTROL OF STEM BORER IN PADDY,SPRAY TRICEL 20 @ 2 ML PER LITER OF WATER,TRIPURA,WEST TRIPURA,MELAGHAR                                          ,05:02.7
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),"	Plant Protection	",CONTROL OF STEM BORER IN PADDY,SPRAY CLASSIC 20 @ 2 ML PER LITER OF WATER,TRIPURA,WEST TRIPURA,MANDWAI,19:05.6
KHARIF,HORTICULTURE,Vegetables,Sponge Gourd,"	Plant Protection	",CONTROL OF ROTING IN SPONGE GOURD,SPRAY BLITOX 50 @ 2 GM PER LITER OF WATER,TRIPURA,WEST TRIPURA,DUKLI                                             ,39:10.0
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),"	Plant Protection	",CONTROL OF LEAF BLAST IN PADDY,SPRAY BAVISTIN @ 2 GM PER LITER OF WATER,TRIPURA,WEST TRIPURA,BISHALGARH                                        ,03:50.3
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),"Cultural Practices	",TOP DRESSING IN PADDY,APPLY UREA @ 3 KG PER BIGHA AS TOP DRESSING AFTER 45-50 DAYS OF SOWING,TRIPURA,WEST TRIPURA,BISHALGARH                                        ,19:31.6
KHARIF,HORTICULTURE,Vegetables,Cowpea (Vegetable),"	Plant Protection	",CONTROL OF STEM ROT IN COWPEA,SPRAY BLITOX 50 @ 2 GM PER LITER OF WATER,TRIPURA,WEST TRIPURA,KALYANPUR                                         ,36:46.5
KHARIF,HORTICULTURE,Vegetables,Tomato,Cultural Practices,WANT TO KNOW TOMATO VARIETY FOR CULTIVATION,ADVICED TO CULTIVATE ANYONE OF THE FOLLOWING NAMELY HIMSONA  HIMSHIKHAR  ANUP OR ROCKY,TRIPURA,WEST TRIPURA,MELAGHAR                                          ,02:20.2
KHARIF,FISHRIES,Inland,Fresh Water,"Tank, Pond and Reservoir Management",FISHERY RELATED QUARRY,TRANSFER TO FISHERY EXPERT,TRIPURA,WEST TRIPURA,KHOWAI                                            ,34:43.9
KHARIF,FISHRIES,Inland,Fresh Water,"Tank, Pond and Reservoir Management",ASKED ABOUT HOW TO REMOVE TOXICITY IN POND AND FEEDING HABIT,ADVISED HIM TO APPLY TOXIMER/KMNO4/ AGRIMIN FORTE,TRIPURA,WEST TRIPURA,KHOWAI                                            ,44:03.0
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),"	Plant Protection	",RICE STEM BORER,ADVISED TO SPRAY TRICEL-20 OR CLASSIC-20 @ 2 ML / LITRE WATER,TRIPURA,WEST TRIPURA,DUKLI                                             ,32:00.5
KHARIF,HORTICULTURE,Vegetables,Lab Lab,"	Plant Protection	",CONTROL MEASURES OF SUCKING PESTS,ADVICE TO SPRAY ROGOR @ 2 ML/L WATER OR MALATHION 50 EC@ 2 ML/L WATER.,TRIPURA,WEST TRIPURA,MOHANPUR                                          ,21:17.0
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),"	Plant Protection	",CONTROL MEASURES OF RICE HISPA,ADVICE TO SPRAY CHLORPYRIPHOS 20 EC @2 ML/L WATER,TRIPURA,WEST TRIPURA,JIRANIA                                           ,59:12.8
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),"	Plant Protection	",GALL MIDGE IN RICE,ADVISED TO SPRAY CHLORPYRIPHOS 20 EC @ 2 ML/ LITRE WATER,TRIPURA,WEST TRIPURA,KALYANPUR                                         ,23:17.7
KHARIF,HORTICULTURE,Vegetables,Cucumber,"	Plant Protection	",CONTROL OF SOIL INSECT IN CUCUMBER,APPLY MALATHION 5 % @ 3 KG PER BIGHA,TRIPURA,WEST TRIPURA,MOHANPUR                                          ,26:18.0
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),"	Plant Protection	",RICE STEM BORER,ADVISED TO SPRAY TRICEL-20 OR CLASSIC-20 @ 2 ML / LITRE WATER,TRIPURA,WEST TRIPURA,KATHALIA                                          ,07:36.2
KHARIF,HORTICULTURE,Vegetables,Ridge Gourd,"	Plant Protection	",CONTROL OF DOWNY MILDEW IN RIDGE GOURD,SPRAY RIDOMIL GOLD @ 2 GM PER LITER OF WATER,TRIPURA,WEST TRIPURA,TELIAMURA                                         ,04:01.2
KHARIF,HORTICULTURE,Vegetables,Cowpea (Vegetable),Cultural Practices,MICRO NUTRIENT REQUIRMENT IN COWPEA,SPRAY TRACEL 2 @ 2 GM PER LITER OF WATER,TRIPURA,WEST TRIPURA,BOXANAGAR                                         ,18:32.2
KHARIF,HORTICULTURE,Flowers,Marigold,"	Plant Protection	",CONTROL OF STEM ROT IN MARIGOLD,SPRAY BLITOX 50 @ 2 GM PER LITER OF WATER,TRIPURA,WEST TRIPURA,MOHANPUR                                          ,27:45.6
KHARIF,HORTICULTURE,Plantation Crops,Arecanut,"	Plant Protection	",CONTROL OF IMMATURE FRUIT DROP IN ARECA NUT,APPLY UREA 110 GM   SSP 125 GM   MOP 140 GM  BORAX 25 GM AND COWDUNG 10 KG PER PLANT TWICE IN A YEAR NAMELY IN APRIL AND OCTOBER MONTH,TRIPURA,WEST TRIPURA,MOHANPUR                                          ,23:05.0
KHARIF,HORTICULTURE,Plantation Crops,Coconut,Fertilizer Use and Availability,ASKING CONTROL OF IMMATURE NUT DROP IN COCONUT,APPLY RECOMMENDED FERTILIZER LIKE-UREA@1.5 KILOGRAM/PLANT SSP@2.5 KILOGRAM/PLANT MOP@1.75 KILOGRAM/PLANT BORAX@25 GRAM/PLANT.FERTILIZER SHOULD BE APPLIED IN TWO EQUAL HALVES TWICE IN A YEAR TO A TRENCH OF 10-12 CENTIMETER DEPTH 30 CENTIMETER BREADTH WITH A RADIUS OF 1-1.75 METER  AWAY FROM THE MAIN TRUNK,TRIPURA,WEST TRIPURA,BOXANAGAR                                         ,59:01.6
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),"	Plant Protection	",CONTROL OF STEM BORER IN PADDY,SPRAY CLASSIC 20 @ 2 ML PER LITER OF WATER,TRIPURA,WEST TRIPURA,HEZAMARA                                          ,44:23.8
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),"	Plant Protection	",PROBLEM OF STEM BORE IN SALI RICE.,ADVISED HIM TO APPLY CHLOROPYRIPHOSE 20 EC(CLASSIC 20) @ 2 ML / LITRE OF WATER.,TRIPURA,WEST TRIPURA,TELIAMURA                                         ,46:24.1
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),"	Plant Protection	",BLAST IN RICE,ADVISED TO SPRAY BAVISTIN @ 1 GRAM / LITRE WATER,TRIPURA,WEST TRIPURA,JAMPUIJALA,31:39.8
KHARIF,AGRICULTURE,Cereals,Paddy (Dhan),"	Plant Protection	",ASKING CONTROL OF LEAF HOPPER ATTACK IN PADDY FIELD,SPRAY CLASSIC 20 EC @ 2 ML PER LITRE OF WATER,TRIPURA,WEST TRIPURA,BISHALGARH                                        ,39:54.5
KHARIF,AGRICULTURE,Others,Others,Weather,ASKING ABOUT WEATHER REPORT,ACCORDING TO IMD REPORT WEATHER WILL BE PARTLY CLOUDY IN NEXT 5 DAYS,TRIPURA,WEST TRIPURA,KHOWAI                                            ,25:54.5
KHARIF,HORTICULTURE,Vegetables,Brinjal,"	Plant Protection	",FUNGAL WILT OF BRINJAL,ADVISED TO SPRAY BAVISTIN 2 2 GRAM / LITRE WATER,TRIPURA,WEST TRIPURA,BISHALGARH                                        ,47:03.0
KHARIF,AGRICULTURE,Others,Others,Weather,ASKING FOR QWEATHER REPORT IN WEST TRIPURA DISTRICT,PREDICTED A RAINFALL OF 20 mm AND 15 mm on 15th AND 16th SEP 2015,TRIPURA,WEST TRIPURA,BISHALGARH                                        ,06:43.8
