Season,Sector,Category,Crop,QueryType,QueryText,KCCAns,StateName,DistrictName,BlockName,CreatedOn
RABI,AGRICULTURE,Others,Others,Weather,Asking about weather forecast ?,This week weather is mostly clear and NO Possibility of Rainfall,MAHARASHTRA,DHULE,DHULE                                             ,31:27.8
JAYAD,AGRICULTURE,Others,Others,Weather,Asking about weather forecast?,THIS WEEK WEATHER IS CLOUDY AND NO POSSIBILITY OF RAINFALL.,MAHARASHTRA,DHULE,DHULE                                             ,32:47.3
JAYAD,HORTICULTURE,Vegetables,Beans ,"	Plant Protection	",ATTACK OF SUCKING PEST ?,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta,MAHARASHTRA,DHULE,SAKRI                                             ,15:19.9
JAYAD,AGRICULTURE,Others,Others,"	Plant Protection	",Attack of Caterpillar,Spray Polo 25gm /15 Liter of Water (Diafenthiuron)-Syngenta,MAHARASHTRA,DHULE,DHULE                                             ,56:19.0
RABI,AGRICULTURE,Others,Others,Weather,Asked About Weather Forecast?,This Week Weather is partially cloudy and  no possibility of Rainfall.,MAHARASHTRA,DHULE,SHIRPUR                                           ,32:18.5
JAYAD,HORTICULTURE,Flowers,Rose,Bio-Pesticides and Bio-Fertilizers,ATTACK OF SUCKING PEST,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta,MAHARASHTRA,DHULE,DHULE                                             ,04:14.8
KHARIF,AGRICULTURE,Others,Others,Weather,Asking about weather forecast?,This week weather is mostly clear and NO Possibility of Rainfall,MAHARASHTRA,DHULE,DHULE                                             ,29:32.1
JAYAD,HORTICULTURE,Vegetables,Brinjal,"	Plant Protection	",Attack of Leaf Miner?,Neen arc 20 ml/15 liter water.,MAHARASHTRA,DHULE,DHULE                                             ,38:04.5
RABI,HORTICULTURE,Vegetables,Onion,Market Information,FARMER ASKED ABOUT MARKET RATE OF ONION ?,MARKET RATE OF - 1000RS/ QUINTAL,MAHARASHTRA,DHULE,SAKRI                                             ,35:53.1
RABI,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),"	Plant Protection	",blight,Spray Redomil Gold 30 gm/15 Liter of Water(Mephonaxon+Mancozeb)-Syngenta,MAHARASHTRA,DHULE,SAKRI                                             ,27:50.5
RABI,AGRICULTURE,Millets,Maize (Makka),"	Plant Protection	",ATTACK OF LEAF EATING CATERPILLAR ?,Spray Proclaim 5 gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta,MAHARASHTRA,AHMADNAGAR,RAHURI                                            ,25:34.6
KHARIF,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),Cultural Practices,asked about cultivation?,"?????? ???-??????(???,???????,?????????,????????)
?????? ?????? (??./??.)???-???
???????? ???? (??.????)-??*?? ???? ??*?? ???? ??*??
?????-??-??% ????? ???? ????????
??????? ??????? (???????/??.)????-??-??,???????-??-??,???-??-??
??????? ????- ???? / ???????-????-?? ,?????-??, ???? ???, ??????- ??, ???? ??, ???? ?????? . ?????? . ???? -??.?? ??.",MAHARASHTRA,AHMADNAGAR,NEVASA                                            ,33:05.2
JAYAD,AGRICULTURE,Others,Others,Government Schemes,"Vasantdada Sugar Institute Colony, Manjari Budruk, Pune?","Vasantdada Sugar Institute Colony, Manjari Budruk, Pune,-020-26902100/ 245/242",MAHARASHTRA,AHMADNAGAR,SANGAMNER                                         ,38:49.5
JAYAD,AGRICULTURE,Others,Others,Government Schemes,ASKING ABOUT GOVERNMENT SCHEME ?,FOR DETAIL INFORMATION ABOUT GOVERNMENT SCHEME  PLEASE VISIT YOUR TALUKA AGRICULTURE OFFICER OR DISTRICT AGRICULTURE OFFICER .,MAHARASHTRA,AHMADNAGAR,NEVASA                                            ,01:05.4
RABI,AGRICULTURE,Others,Others,Weather,Asking about weather forecast ?,This week weather is mostly clear and NO Possibility of Rainfall,MAHARASHTRA,AHMADNAGAR,SHRIGONDA                                         ,24:26.7
RABI,HORTICULTURE,Vegetables,Onion,Market Information,FARMER ASKED ABOUT MARKET RATE OF onion ?,MARKET RATE OF ONION -600-1000  RS/QTL,MAHARASHTRA,AHMADNAGAR,PARNER                                            ,39:31.0
JAYAD,AGRICULTURE,Others,Others,Market Information,Asking About Market Rate?,Market Rate - 700 te 1200   rupees/qt.,MAHARASHTRA,AHMADNAGAR,KARJAT                                            ,39:57.8
KHARIF,HORTICULTURE,Vegetables,Onion,Market Information,asked about market rate of onion ?,"KOLHAPUR	----	QUINTAL	6913	500	900	850
AURANGABAD	----	QUINTAL	466	500	1000	750
MUMBAI-ONION AND POTATO MKT	----	QUINTAL	11480	900	1200	1050
KARAD	HALVA	QUINTAL	201	700	1000	1000
SOLAPUR	LAL	QUINTAL	11313	100	920	550
JALGAON	LAL	QUINTAL	266	300	700	450
PANDHARPUR	LAL	QUINTAL	582	100	900	700",MAHARASHTRA,AHMADNAGAR,PARNER                                            ,50:17.1
RABI,HORTICULTURE,Fruits,Pomegranate,Market Information,FARMER ASKED ABOUT MARKET RATE OF POMEGRANATE?,MARKET RATE OF POMEGRANATE-8000-14000  RS/QTL,MAHARASHTRA,AHMADNAGAR,PARNER                                            ,15:47.8
JAYAD,HORTICULTURE,Vegetables,Onion,"	Plant Protection	",blight attack on onion?,spray bavistin 30gm/ 15 lit of water,MAHARASHTRA,AHMADNAGAR,NAGAR                                             ,40:50.0
RABI,HORTICULTURE,Vegetables,Onion,Market Information,asked about market rate of onion ?,"asked about market rate of onion = KOLHAPUR	----	QUINTAL	6913	500	900	850
AURANGABAD	----	QUINTAL	466	500	1000	750
MUMBAI-ONION AND POTATO MKT	----	QUINTAL	11480	900	1200	1050
KARAD	HALVA	QUINTAL	201	700	1000	1000
SOLAPUR	LAL	QUINTAL	11313	100	920	550
JALGAON	LAL	QUINTAL	266	300	700	450",MAHARASHTRA,AHMADNAGAR,KARJAT                                            ,45:02.4
JAYAD,HORTICULTURE,Flowers,Marigold,Fertilizer Use and Availability,FERTILIZER DOSE FOR MARIGOLD ?,FERTILIZER DOSE FOR MARIGOLD = SPRAY 00:52:34 60  GM/15 LITER WATER,MAHARASHTRA,AHMADNAGAR,SANGAMNER                                         ,02:06.5
RABI,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),"	Plant Protection	",Asked about attack of early shoot borer on sugarcane ?,Spray Chloropyriphos 30ml(Blaze (Indofil))/15 Liter of Water.,MAHARASHTRA,AHMADNAGAR,NEVASA                                            ,27:10.4
JAYAD,AGRICULTURE,Others,Others,"	Plant Protection	",ATTACK OF THRIPS AND  JASSID?,Spray Karate20ml/15 Liter of Water(Lambda 5 SC)-Syngenta,MAHARASHTRA,AHMADNAGAR,NAGAR                                             ,06:30.9
RABI,AGRICULTURE,Others,Others,Weather,Asking about weather forecast ?,THIS WEEK WEATHER IS MOSTLY CLEAR TEMP.,MAHARASHTRA,AHMADNAGAR,KOPARGAON                                         ,28:17.9
JAYAD,AGRICULTURE,Fodder Crops,Anjan Grass,"	Plant Protection	",caterpillar attack ?,Spray Chloropyriphos 30 ml/15 Lit of Water.,MAHARASHTRA,AHMADNAGAR,PARNER                                            ,35:56.6
JAYAD,HORTICULTURE,Vegetables,Onion,Market Information,Market rate of onian?,Market rate of onian-300-850/qtl.,MAHARASHTRA,AHMADNAGAR,NEVASA                                            ,17:36.4
RABI,AGRICULTURE,Pulses,Green Gram (Moong Bean/ Moong),"	Plant Protection	",ASKED ABOUT ATTACK OF APHIDS ?,Lancer Gold 51.8 SP 30 GM /15 LITERS OF WATER -(Acephate 50 + Imidacloprid 1.8 SP) UPL,MAHARASHTRA,AHMADNAGAR,NEVASA                                            ,43:02.9
JAYAD,AGRICULTURE,Others,Others,Weather,Asking about weather forecast ?,Cloudy weather no rainfall chances today.,MAHARASHTRA,AHMADNAGAR,JAMKHED                                           ,03:44.9
JAYAD,HORTICULTURE,Vegetables,Bitter Gourd,"	Plant Protection	",ASKED ABOUT THRIPS ATTACK ON BITTER GOURD ?,"ASKED ABOUT THRIPS ATTACK ON BITTER GOURD=
Spray Regent 20 ml /15 liter water (Fipronil 5 SC)-Bayer",MAHARASHTRA,AHMADNAGAR,NAGAR                                             ,50:11.5
RABI,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),Fertilizer Use and Availability,FERTILIZER SPRAY FOR GROWTH ?,SPRAY 19 19 19 40 GM + MICROLLA 30 ML + HUMIC ACID 30 ML /15 LITERS OF WATER,MAHARASHTRA,AHMADNAGAR,RAHATA                                            ,54:12.4
JAYAD,AGRICULTURE,Millets,Maize (Makka),Weed Management,ASKING ABOUT WEED MANAGEMENT IN MAIZE ?,"WEED MANAGEMENT IN MAIZE - SPRAY 2, 4- D 40 GM 20-25 DAYS AFTER SOWING /15 LITERS OF WATEER",MAHARASHTRA,AHMADNAGAR,RAHURI                                            ,56:10.4
RABI,AGRICULTURE,Others,Others,Weather,Asking about weather forecast ?,This week weather is mostly clear and NO Possibility of Rainfall,MAHARASHTRA,AHMADNAGAR,SHRIGONDA                                         ,07:38.2
KHARIF,HORTICULTURE,Vegetables,Onion,Market Information,asked about market rate of onion ?,"SATARA	----	QUINTAL	1190	700	900	800
JUNNAR (ALEPHATA)	CHINCHWAD	QUINTAL	2478	500	1000	800
KARAD	HALVA	QUINTAL	252	700	1000	1000",MAHARASHTRA,AHMADNAGAR,SHRIGONDA                                         ,13:13.0
RABI,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),Weed Management,WEED MANAGEMENT IN SUGARCANE ?,"SPRAY 2,4 D AMINE SALT 58% SL 40 ML + SENCOR (Metribuzin 70 WP) 30 GM /15 LITERS OF WATER",MAHARASHTRA,AHMADNAGAR,KARJAT                                            ,13:23.1
JAYAD,HORTICULTURE,Vegetables,Onion,"	Plant Protection	",powdery mildew on onion?,SPRAY RIDOMIL GOLD 30 GM / 15 LITERS OF WATER. SYNGENTA,MAHARASHTRA,AHMADNAGAR,PARNER                                            ,07:52.2
RABI,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),"	Plant Protection	",Asking about Attack of Caterpillar on sugarcane ?,Spray Chlorpyrifos 30ml/15 Liter of Water.,MAHARASHTRA,AHMADNAGAR,NEVASA                                            ,12:51.1
JAYAD,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED APMC CONTACT ?,"ddress:

Apmc Ahmednagar
Manager 
Kisan-Kranti Building Market Yard, Ahmednagar - 414001, Maharashtra, India Mobile +91-9823724098
Send SMS Telephone:+91-241-2450647",MAHARASHTRA,AHMADNAGAR,KOPARGAON                                         ,25:56.4
RABI,HORTICULTURE,Vegetables,Onion,Fertilizer Use and Availability,ASKED ABOUT FERTILIZER DOSE FOR ONION ?,FERTILIZER DOSE FOR ONION : 00 00 50 3 KILO THROUGH DRIP,MAHARASHTRA,AHMADNAGAR,RAHURI                                            ,31:19.1
KHARIF,HORTICULTURE,Fruits,Pomegranate,"	Plant Protection	",control of sucking pest attack ?,SPRAY ADMIRE 5 GM /15 liter water BAYER CROP SCIENCE,MAHARASHTRA,AHMADNAGAR,SANGAMNER                                         ,34:54.7
KHARIF,HORTICULTURE,Fruits,Pomegranate,"	Plant Protection	",control of sucking pest attack ?,SPRAY ADMIRE 5 GM /15 liter water BAYER CROP SCIENCE,MAHARASHTRA,AHMADNAGAR,SANGAMNER                                         ,34:55.7
JAYAD,AGRICULTURE,Others,Others,Cultural Practices,PREPARATION OF JIVAMRUT?,For preparation of jivamrut use 10 kg cow dung + 10 liter cow urine + 2 kg flour mill  + 2 kg jaggary + 200 liter water skake well morning and evening till 4 -6 days.,MAHARASHTRA,AHMADNAGAR,NEVASA                                            ,43:45.3
RABI,HORTICULTURE,Vegetables,Chillies,"	Plant Protection	",attack of caterpiller on chillies ?,Spray Chlorpyrifos 30ml/15 Liter of Water.,MAHARASHTRA,AHMADNAGAR,RAHURI                                            ,50:10.5
JAYAD,HORTICULTURE,Vegetables,Bhindi(Okra/Ladysfinger),"	Plant Protection	",ATTACK OF SUCKING PEST ?,ATTACK OF SUCKING PEST -Spray of bio-303 15ml/15lit.water.,MAHARASHTRA,AHMADNAGAR,PATHARDI                                          ,09:32.3
JAYAD,AGRICULTURE,Others,Others,Weather,Asking About Weather Forecast ?,"This week weather is  Cloudy Weather , No Rainfall Chances .",MAHARASHTRA,AHMADNAGAR,SHEVGAON                                          ,09:38.7
RABI,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),Fertilizer Use and Availability,FERTILIZER SPRAY FOR GROWTH ?,SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER,MAHARASHTRA,AHMADNAGAR,SHEVGAON                                          ,13:32.8
KHARIF,HORTICULTURE,Vegetables,Onion,Market Information,FARMER ASKED ABOUT MARKET RATE OF ?,"MARKET RATE OF -  MIN-700	   MAX- 1000    AVERAGE- 1000   RS/QTL",MAHARASHTRA,AHMADNAGAR,SHEVGAON                                          ,52:04.3
KHARIF,HORTICULTURE,Vegetables,Onion,Market Information,FARMER ASKED ABOUT MARKET RATE OF ?,"MARKET RATE OF -  MIN-700	   MAX- 1000    AVERAGE- 1000   RS/QTL",MAHARASHTRA,AHMADNAGAR,SHEVGAON                                          ,52:04.9
JAYAD,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),Varieties,varieties of sugarcane?,"265, 10001, 5001, 86032",MAHARASHTRA,AHMADNAGAR,NAGAR                                             ,03:01.1
JAYAD,HORTICULTURE,Vegetables,Watermelon,Market Information,FARMER ASKED ABOUT MARKET RATE OF ATERMELON ?,MARKET RATE OF WATERMELON  -500-1000 RS/QTL,MAHARASHTRA,AHMADNAGAR,RAHURI                                            ,04:07.0
JAYAD,HORTICULTURE,Vegetables,Onion,Market Information,"market rate of onion?









































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































market rate of onion?","market rate of onion-min rate-300, max rate-850/qt",MAHARASHTRA,AHMADNAGAR,PARNER                                            ,24:34.8
JAYAD,AGRICULTURE,Others,Others,Weather,Asking About Weather Forecast ?,"This week weather is  Cloudy Weather , No Rainfall Chances .",MAHARASHTRA,AHMADNAGAR,PARNER                                            ,47:26.8
RABI,AGRICULTURE,Others,Others,Government Schemes,asked about govt. schemes ?,for gov schemes contact TAO.http://www.krishi.maharashtra.gov.in/,MAHARASHTRA,AHMADNAGAR,PARNER                                            ,50:05.9
KHARIF,AGRICULTURE,Others,Others,Government Schemes,ASKING CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT?,CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT = 1800 233 0418,MAHARASHTRA,AHMADNAGAR,NAGAR                                             ,28:54.5
KHARIF,AGRICULTURE,Others,Others,Fertilizer Use and Availability,FERTILIZER  IN SUGARCANE  ?,"I. Top Dressing with Fertilizers

a. Soil application
      
Apply 275 kg of nitrogen and 112.5 kg of K2O/ha in three equal splits at 30, 60 and 90 days in coastal and flow irrigated belts (assured water supply areas). In the case of lift irrigation belt, apply 225 kg of nitrogen and 112.5 kg of K2O/ha in three equal splits at 30, 60 and 90 days (water scarcity areas). For jaggery areas, apply 175 kg of nitrogen and 112.5 kg of K2O/ha in three equal splits on 30, 60 and 90 days.

Nitrogen Saving

a.  Neem Cake Blended Urea: Apply 67.5 kg of N/ha + 27.5 kg of Neem Cake at 30 days and repeat on 60th and 90th days",MAHARASHTRA,AHMADNAGAR,NEVASA                                            ,37:15.7
JAYAD,HORTICULTURE,Fruits,Pomegranate,"	Plant Protection	",asked about nutrient for pomegranate ?,nutrient for pomegranate - spray spinosad  5 ml / 15 liter water,MAHARASHTRA,AHMADNAGAR,NEVASA                                            ,45:31.9
JAYAD,AGRICULTURE,Others,Others,"	Plant Protection	",YELLOWING,SPRAY MICROLLA 30 ml/15 LITER WATER,MAHARASHTRA,AHMADNAGAR,SHRIGONDA                                         ,09:52.7
JAYAD,HORTICULTURE,Vegetables,Onion,"Water Management, Micro Irrigation",asked about water management in onion,"After harvesting of onion it is ready for harvesting from 3 to 4.5 months. The onion layer of yellow onion grows yellow in yellow and yellow onion. This is called breaking the neck. After degradation of 60 to 75 percent, consider that the onion extract has matured. The kadali breeders should loose the surrounding lands and take out the onions. After 4-5 days after harvest, onion powder should be kept in the farm in small dhagy form. Then cut the onion and mud. Cut off the stomach by placing a stalk of 3 to 4 cm in length. After that, onion should be dry in the shade 4 to 5 days",MAHARASHTRA,AHMADNAGAR,SHEVGAON                                          ,18:59.7
RABI,AGRICULTURE,Others,Others,Government Schemes,Asked About SMS Activation?,TO START SMS SERVICE PLEASE TYPE SMS  Kisaan1 AND SEND IT TO 7738299899,MAHARASHTRA,AHMADNAGAR,AKOLE,27:58.5
KHARIF,AGRICULTURE,Others,Others,Fertilizer Use and Availability,cotton   market  rate in nager,"02/04/2018
MANWAT	----	QUINTAL	1200	3000	3300	3200
SAILU	----	QUINTAL	2600	2995	5190	5100
TELHARA	H-4 - MEDIUM STAPLE	QUINTAL	250	4450	4550	4500
UMARED	LOCAL	QUINTAL	175	4000	4900	4850
MANWAT	LOCAL	QUINTAL	800	4875	5005	4950",MAHARASHTRA,AHMADNAGAR,SHEVGAON                                          ,30:27.1
RABI,AGRICULTURE,Others,Others,Weather,Asking about weather forecast ?,"PARTLY CLOUDY , RAINFALL CHANCES",MAHARASHTRA,AHMADNAGAR,KARJAT                                            ,12:05.1
RABI,AGRICULTURE,Others,Others,Weather,Asking about weather forecast ?,"PARTLY CLOUDY , RAINFALL CHANCES",MAHARASHTRA,AHMADNAGAR,NEVASA                                            ,20:27.9
KHARIF,HORTICULTURE,Fruits,Musk Melon,"	Plant Protection	",control of blight attack ?,spraying of blue coper 25 gram / 15 liter water,MAHARASHTRA,AHMADNAGAR,AKOLE,25:33.6
KHARIF,HORTICULTURE,Fruits,Musk Melon,"	Plant Protection	",control of blight attack ?,spraying of blue coper 25 gram / 15 liter water,MAHARASHTRA,AHMADNAGAR,AKOLE,25:33.8
KHARIF,HORTICULTURE,Fruits,Citrus,Fertilizer Use and Availability,fertilizer dose of citrus ?,application of 00:00:50 - 6 kg + microla 1 liter through drip,MAHARASHTRA,AHMADNAGAR,JAMKHED                                           ,10:53.4
KHARIF,HORTICULTURE,Fruits,Citrus,Fertilizer Use and Availability,fertilizer dose of citrus ?,application of 00:00:50 - 6 kg + microla 1 liter through drip,MAHARASHTRA,AHMADNAGAR,JAMKHED                                           ,10:54.0
JAYAD,HORTICULTURE,Vegetables,Bhindi(Okra/Ladysfinger),Seeds and Planting Material,VARIETIES OF BHENDI ?,VARIETIES OF BHENDI -PHULE UTKARSHA PARBHANI KRANTI ARKA ANAMIKA ARKA ABHAY MAHYCO -64 SHAN SAHIBA,MAHARASHTRA,AHMADNAGAR,PARNER                                            ,09:08.1
RABI,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),Fertilizer Use and Availability,fertilizer dose?,apply ssp 1 + urea 1 byag + humc acid 5 kilo / ekar,MAHARASHTRA,AHMADNAGAR,SHRIGONDA                                         ,32:03.3
JAYAD,AGRICULTURE,Others,Others,Government Schemes,ASKING ABOUT GOVERNMENT SCHEME ?,FOR DETAIL INFORMATION ABOUT GOVERNMENT SCHEME  PLEASE VISIT YOUR TALUKA AGRICULTURE OFFICER,MAHARASHTRA,AHMADNAGAR,RAHATA                                            ,51:03.6
JAYAD,HORTICULTURE,Vegetables,Tomato,Fertilizer Use and Availability,fertilizer dose for tomato?,apply 19:19:19 3kg/acre,MAHARASHTRA,AHMADNAGAR,NEVASA                                            ,58:16.9
JAYAD,AGRICULTURE,Others,Others,Weather,Asking about weather forecast?,THIS WEEK WEATHER IS CLOUDY AND NO RAINFALL CHANCES DURING THIS WEEK.,MAHARASHTRA,AHMADNAGAR,KARJAT                                            ,35:38.7
JAYAD,HORTICULTURE,Vegetables,Onion,"	Plant Protection	",FARMER ASKED FOR THRIPS ATTACK ON ONION  ?,SPRAY KARATE 20 ML/15 LITERS OF WATER (Lambdacyhalothrin ),MAHARASHTRA,AHMADNAGAR,SHRIGONDA                                         ,41:36.8
JAYAD,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),Organic Farming,Decomposing sugarcane trash?,Apply 8 kg urea + 10 kg ssp + decomposting culture 4 kg/tonne of sugarcane trash.,MAHARASHTRA,AHMADNAGAR,SHRIGONDA                                         ,51:36.9
KHARIF,AGRICULTURE,Fodder Crops,Guinea Grass,"	Plant Protection	",Attack of Caterpillar.,Spray Rogar 15ml/15 Liter of Water (Dimethoate)-Cheminova,MAHARASHTRA,AHMADNAGAR,RAHURI                                            ,36:26.7
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),Market Information,market rate of cotton?,"market rate of cotton -SAILU	----	QUINTAL	2600	2995	5190	5100",MAHARASHTRA,AHMADNAGAR,PATHARDI                                          ,40:24.5
RABI,AGRICULTURE,Millets,Maize (Makka),"	Plant Protection	",ATTACK OF LEAF EATING CATERPILLAR ?,Spray Missile 7 gm/15 liter water (Emamectin Benzoate 5% SG)- Crystal Crop Protection,MAHARASHTRA,AHMADNAGAR,RAHURI                                            ,55:42.3
JAYAD,AGRICULTURE,Others,Others,Government Schemes,Asked About SMS Activation ?,Your SMS Registration process successfully completed.,MAHARASHTRA,AHMADNAGAR,PARNER                                            ,01:15.2
JAYAD,HORTICULTURE,Vegetables,Bhindi(Okra/Ladysfinger),"	Plant Protection	",sucking pest on bhindi?,spray dimethoat 15ml + bavistin 30gm/ 15 lit of water,MAHARASHTRA,AHMADNAGAR,NAGAR                                             ,05:57.9
KHARIF,HORTICULTURE,Fruits,Papaya,"	Plant Protection	",ATTACK OF SUCKING PEST?,Spray Actra 5 gm + BAVISTIN- 30 GRAM /15 Lit of Water.,MAHARASHTRA,AHMADNAGAR,SHRIRAMPUR                                        ,44:05.4
